"Ano_Ref","Municipio","UF","AG001","ES001","POP_URB","AG006","AG028","ES006","ES028","FN001","FN002","FN003","FN006","FN013","FN023","FN024","FN033","FN042","FN043","FN048","FN052","FN053","FN058"
2018,"Palmeira do Piauí","Piauí",1752,NA,1784,110.13,28.99,NA,NA,172344.73,172344.73,NA,286174.97,24647.6,0,0,222.17,0,0,0,0,0,0
2017,"Parnaguá","Piauí",5340,NA,5514,255.46,244.76,NA,NA,522494.75,522494.75,NA,504915.52,168724.98,0,0,1851.4,0,0,0,0,0,0
2017,"Regeneração","Piauí",12475,NA,13917,837.28,721.13,NA,NA,1612118.18,1612118.18,NA,1807112.35,297445.53,0,0,5794.12,0,0,0,0,0,0
2018,"Santa Filomena","Piauí",1428,NA,3635,104.13,1.45,NA,NA,203774.55,203774.55,NA,246275.29,1553.64,0,0,169.82,0,0,0,0,0,0
2017,"Santa Luz","Piauí",3924,NA,3249,240.32,83.01,NA,NA,493613.65,493613.65,NA,474581.4,50694.74,0,0,1721.07,0,0,0,0,0,0
2019,"São José do Piauí","Piauí",2669,NA,1962,211.51,219.34,NA,NA,419836.02,419836.02,NA,457372.77,162453.99,0,0,84.23,0,0,0,0,0,0
2019,"São Julião","Piauí",5700,NA,2610,255,1693.53,NA,NA,957841.8,957841.8,NA,1001301.17,1340294.04,0,0,196.66,0,0,0,0,0,0
2012,"Buerarema","Bahia",15291,NA,15214,759.58,383.34,NA,NA,1456105.93,1456105.93,NA,1646765.84,75932.13,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Caatiba","Bahia",7321,NA,5118,232.72,90.68,NA,NA,579932.9,579932.9,NA,529860.58,23999.09,3780.78,0,9564.79,NA,NA,NA,NA,NA,NA
2015,"Cafarnaum","Bahia",12016,NA,11475,536.03,1636.1,NA,NA,1264761.37,1264761.37,NA,1337502.84,31142.38,16928.07,19142.82,45896.02,NA,NA,NA,0,0,0
2015,"Cardeal da Silva","Bahia",6750,NA,3177,378.01,343.66,NA,NA,762035.4,762035.4,NA,779303.39,128328.97,128.31,145.1,347.88,NA,NA,NA,0,0,0
2015,"Coribe","Bahia",14210,NA,6428,1478,650,NA,NA,916137.1,916137.1,NA,916137.1,230252.2,0,0,0,0,0,0,0,0,0
2012,"Cristópolis","Bahia",3457,NA,3155,147.1,108.31,NA,NA,357966.06,357966.06,NA,353625.88,37284.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Ibicoara","Bahia",4572,NA,12398,171.31,244.6,NA,NA,582585.71,582585.71,NA,536592.01,71242.9,142.04,160.62,385.1,NA,NA,NA,0,0,0
2012,"Jaguaripe","Bahia",9855,NA,5446,438.52,140.61,NA,NA,832232.6,832232.6,NA,982934.14,51008.06,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Macaúbas","Bahia",45968,NA,16463,1894.3,1601.9,0,0,3720864.08,3720864.08,0,3690183.26,830489.51,76599.25,22224.66,110230.81,0,0,0,0,0,0
2012,"Mansidão","Bahia",5161,NA,4845,152.05,327.03,NA,NA,353231.9,353231.9,NA,364191.92,122634.86,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Mascote","Bahia",12461,NA,11373,479.66,368.64,NA,NA,1038201.71,1038201.71,NA,943915.4,87782.88,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Mortugaba","Bahia",7151,NA,5874,267.19,198.96,NA,NA,803369.47,803369.47,NA,823912.62,49394.83,64022.07,0,71218.73,NA,NA,NA,NA,NA,NA
2012,"Paratinga","Bahia",20000,NA,11034,1000,200,NA,NA,1020000,1020000,NA,980000,307740,0,0,20000,0,0,0,0,0,0
2013,"Pindaí","Bahia",4236,NA,4617,243.86,587.65,NA,NA,467449.97,467449.97,NA,508682.68,98504.76,3143.09,0,8906.38,NA,NA,NA,NA,NA,NA
2014,"São Gabriel","Bahia",18293,NA,11116,802.16,2416.46,NA,NA,1813967.42,1813967.42,NA,1899084.2,484423.37,50941.03,0,56667.26,NA,NA,NA,NA,NA,NA
2013,"Souto Soares","Bahia",6732,NA,6485,261.29,15.65,NA,NA,633252.94,633252.94,NA,668915.48,2854.19,0,0,7548.21,NA,NA,NA,NA,NA,NA
2012,"Tanhaçu","Bahia",10148,NA,8285,448.44,190.05,NA,NA,1111634.88,1111634.88,NA,1214577.95,64253.27,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,"Tanquinho","Bahia",7092,NA,5858,416.9,997.4,NA,NA,1011904.4,1011904.4,NA,1026121.83,344179.92,8228.89,100,9719.17,NA,NA,NA,0,0,0
2015,"Uauá","Bahia",15999,NA,11112,1123.19,1061.41,NA,NA,2090557.84,2090557.84,NA,2015875.53,277087.79,1637.78,1852.05,4440.4,NA,NA,NA,0,0,0
2015,"Uibaí","Bahia",14483,NA,8834,772.97,2286.92,NA,NA,1771647.73,1771647.73,NA,1815210.28,618169.68,24569.24,27783.71,84852.55,NA,NA,NA,132269.73,0,132269.73
2015,"Wanderley","Bahia",8338,NA,6124,370.06,515.4,NA,NA,995063.34,995063.34,NA,1049616.7,3561.77,417.88,472.56,1132.98,NA,NA,NA,0,0,0
2016,"Alto Parnaíba","Maranhão",7166,NA,7167,915.62,277.64,NA,NA,1154883.43,1154883.43,NA,589988.93,92999.47,0,0,14426.08,0,0,0,0,0,0
2014,"Chapadinha","Maranhão",30692,NA,55493,1598.05,991.4,NA,NA,3091924.39,3091924.39,NA,3297260.04,350127.52,3318761.54,984052.46,4562564.08,0,0,0,0,0,0
2012,"Cidelândia","Maranhão",4826,NA,6160,591.74,205.6,NA,NA,612015.55,612015.55,NA,345368.95,174161.53,0,0,0,0,0,0,0,0,0
2015,"Esperantinópolis","Maranhão",9973,NA,9261,1213.77,501.98,NA,NA,1102206.63,1102206.63,NA,1071018.28,210239.57,0,0,0,0,0,0,0,0,0
2012,"Gonçalves Dias","Maranhão",6415,NA,7798,634.76,756.64,NA,NA,548643.69,548643.69,NA,533287.6,139190.84,0,0,0,0,0,0,0,0,0
2015,"Jatobá","Maranhão",2931,NA,4307,538.58,270.58,NA,NA,236553.44,236553.44,NA,242471.77,102330.09,0,0,0,0,0,0,0,0,0
2013,"Mirinzal","Maranhão",3018,NA,9213,462.9,170.12,NA,NA,280696.75,280696.75,NA,231832.74,71268.89,7251,0,7251,0,0,0,0,0,0
2012,"Mirinzal","Maranhão",2915,NA,9148,493.41,171.63,NA,NA,263414.02,263414.02,NA,191378.03,79692.12,0,0,0,0,0,0,0,0,0
2014,"Nina Rodrigues","Maranhão",4371,NA,4896,681.83,921.33,NA,NA,337607.83,337607.83,NA,324827.04,365051.7,0,0,0,0,0,0,0,0,0
2015,"Nova Iorque","Maranhão",1568,NA,2877,417.53,129.97,NA,NA,176450.03,176450.03,NA,126116.23,50173.57,0,0,0,0,0,0,0,0,0
2014,"Olho d'Água das Cunhãs","Maranhão",1243,NA,9802,163.18,117.82,NA,NA,108815.14,108815.14,NA,43242.32,66796.53,172942.85,0,172942.85,0,0,0,0,0,0
2014,"Paço do Lumiar","Maranhão",49811,NA,86737,5588,193.6,NA,NA,1900999,1900999,NA,1540000,790000,121000,0,242000,0,0,0,0,0,0
2016,"Paulino Neves","Maranhão",847,NA,5058,205.31,54.54,NA,NA,78443.03,78443.03,NA,50024.73,31658.4,0,0,0,0,0,0,0,0,0
2012,"Penalva","Maranhão",4928,NA,17430,693.55,350.6,NA,NA,359565.04,359565.04,NA,338080.46,145284.68,0,0,0,0,0,0,0,0,0
2014,"Peritoró","Maranhão",8396,NA,8179,1216.88,496.9,NA,NA,790456.34,790456.34,NA,787166.08,146707.13,0,0,39344.38,0,0,0,0,0,0
2012,"Rosário","Maranhão",20468,NA,23777,1772.95,1145.39,0,0,1270364.87,1270364.87,0,1254974.89,522447.3,0,0,0,0,0,0,0,0,0
2015,"Santa Rita","Maranhão",14687,NA,16580,1839.73,940.44,NA,NA,21252.35,21252.35,NA,21252.35,286943.24,0,0,0,0,0,0,0,0,0
2013,"São Bernardo","Maranhão",7491,NA,12198,736.11,415.8,NA,NA,614462.12,614462.12,NA,465765.55,118192.65,0,0,0,0,0,0,0,0,0
2014,"São Pedro da Água Branca","Maranhão",9281,NA,10998,1498.88,488.9,NA,NA,675163.54,675163.54,NA,553846.15,160109.67,0,0,0,0,0,0,0,0,0
2013,"São Pedro da Água Branca","Maranhão",9432,NA,10943,1648.89,481.39,NA,NA,676453.7,676453.7,NA,531091.63,97091.28,0,0,0,0,0,0,0,0,0
2013,"Timon","Maranhão",146671,NA,140575,23550,7989,NA,NA,8530878.14,8530878.14,NA,8818127.59,2719809.8,476830.13,0,476830.13,0,0,0,0,0,0
2012,"Água Branca","Piauí",14463,NA,14798,1019.63,333.44,NA,NA,1552734.31,1552734.31,NA,1406204.88,132103.67,0,0,0,0,0,0,0,0,0
2013,"Alto Longá","Piauí",4376,NA,6850,269.35,220.63,NA,NA,602690.42,602690.42,NA,650312.7,85872.15,0,0,0,0,0,0,0,0,0
2012,"Batalha","Piauí",9464,NA,9700,726.9,163.69,NA,NA,1361277.27,1361277.27,NA,1331206.49,84464.9,0,0,0,0,0,0,0,0,0
2012,"Capitão de Campos","Piauí",4561,NA,6428,558.05,177.69,NA,NA,534802.74,534802.74,NA,469065.97,91678.21,0,0,0,0,0,0,0,0,0
2015,"Esperantina","Piauí",26687,NA,23837,1666,773.95,NA,NA,3330092.29,3330092.29,NA,3382877.93,348771.22,0,0,0,NA,NA,NA,0,0,0
2016,"Hugo Napoleão","Piauí",3801,NA,3134,247.91,126.12,NA,NA,454240.06,454240.06,NA,483812.65,71006.92,0,0,0,0,0,0,0,0,0
2014,"Jerumenha","Piauí",2466,NA,2473,222.71,238.16,NA,NA,302598.14,302598.14,NA,387063.26,105249.6,0,0,0,NA,NA,NA,0,0,0
